text,intensity,source,abuse,censure,discrimination,hate,sexual,violence,사전_유해성,AI_유해성,유해_단어,대체_제안형식,대체_문장
밤에 외로우면 연락해,1,윤리검증,0,0,0,0,1,1,0,1,['연락해'],"감정은 유지하되, 소통을 더욱 긍정적인 방향으로 전환",밤에 외로우면 얘기하고 싶으면 언제든지 말해.
ㅋㅋㅋㅋㅋ ㅇㅈ 할 말없을 때도 욕만 하니까 좀 듣기 불편하더라,0,윤리검증,0,0,0,0,0,0,0,0,,,
배가 아파,0,윤리검증,0,0,0,0,0,0,0,0,,,
여자가 결혼했으면 집안일을 챙겨야지,1,윤리검증,0,0,1,0,0,0,0,1,"['여자가', '집안일을 챙겨야지']","성별에 대한 고정관념을 피하고, 모든 사람이 가정에서의 역할을 공유할 수 있도록 표현",가정에서는 모든 사람이 함께 집안일을 챙겨야 해.
어우 저 짐승만도 못한 쓰레기 같은 인간!,1,윤리검증,0,1,0,0,0,0,1,1,"['짐승만도 못한', '쓰레기 같은']","비난의 감정을 유지하되, 인신공격적인 표현을 완화된 어조로 변경","어우, 정말로 이해할 수 없는 행동을 하는 사람이야!"
그건 좀 ㅋㅋ,0,윤리검증,0,0,0,0,0,0,0,0,,,
걍.. 혀 짤린 사람 같음.. 니 시옷 발음도 안되제?ㅋㅋㅋ,1,윤리검증,0,1,0,0,0,0,0,1,"['혀 짤린', '니 시옷 발음도 안되제']","모욕적인 표현을 피하고, 좀 더 친근한 질문으로 변경",너 무슨 일 있니? 발음이 잘 안 되는 것 같아?ㅋㅋ
가슴이 저정도로 납짝하다고?,0,윤리검증,0,0,0,0,0,0,0,0,,,
예쁘면 됐지 뭐,0,윤리검증,0,0,0,0,0,0,0,0,,,
오늘도 듣다가 좀 싸했어 ㅋㅋ,0,윤리검증,0,0,0,0,0,0,0,0,,,
돈부터 입금하라면서요,0,윤리검증,0,0,0,0,0,0,0,0,,,
"근무지에서 담배나 피고 있고,뭐하는거야?",0,윤리검증,0,0,0,0,0,0,1,0,['무'],감정을 간단한 질문 형태로 유지하면서 부적절한 표현을 제거,근무지에서 담배를 피우고 있는 건 왜 그런 거야?
내가 입겠다는데 뭔 상관이야,0,윤리검증,0,0,0,0,0,0,0,0,,,
멀 꼬라보는 거야,1,윤리검증,0,1,0,0,0,0,0,1,['꼬라보는'],부정적인 표현을 중립적인 질문 형태로 대체,무슨 일이 있어서 그런 표정을 짓고 있는 거야?
일기 예보 안 맞는 거 때문에 진짜 개 빡침.. 진짜 일안하고 뭐함?,2,윤리검증,0,1,0,0,0,0,1,1,['빡침'],"감정을 표현하되, 비속어를 사용하지 않고 상황을 묘사",일기 예보가 맞지 않아서 정말 화가 나.. 도대체 뭐하고 있는 거지?
그거 말고도 초딩들 사이에서 맥락맹 존많~,2,윤리검증,0,1,0,0,0,0,1,1,['초딩'],특정 연령층을 지칭하는 단어를 보다 중립적인 표현으로 대체,그거 말고도 어린이들 사이에서 맥락맹 존많~
여자들은 매번 호갱처럼 당하고만 사네? ㅋㅋㅋ,1,윤리검증,0,1,0,1,0,0,0,1,['호갱'],"문맥을 유지하되, 부정적인 표현을 완화하여 감정만 전달",여자들은 매번 불리하게 상황에 처하는 것 같아? ㅋㅋㅋ
30살 넘도록 노처녀들이 평생 하수구에서 허덕 일 것 들이,1,윤리검증,0,1,0,0,1,0,0,1,"['노처녀', '하수구', '허덕']","부정적인 이미지를 줄이고, 긍정적인 방향으로 의미를 수정",30살이 넘는 사람들도 다양한 삶의 길을 걸으며 경험을 쌓아갈 수 있습니다.
제발 한국에서 짱깨들 다 사라졌으면 좋겠다.,2,윤리검증,0,0,1,1,0,0,0,1,"['짱깨들', '사라졌으면 좋겠다']","부적절한 표현을 완화하고, 한국의 다양한 문화에 대한 긍정적인 시각을 강조하는 문장으로 대체",한국에서 모두가 함께 행복하게 살아갈 수 있는 환경이 되면 좋겠어요.
다른 집 남편들은 알아서 잘만 벌어 와,1,윤리검증,0,1,0,0,0,0,0,1,['다른 집 남편들'],일반적인 내용을 유지하되 특정 사회적 역할을 강조 않는 표현으로 대체,각자의 가정이 잘 돌아가기를 바라.
쓸데없는 자존심 버리고 요양원이나 빨리 들어가지,2,윤리검증,0,1,0,0,0,0,0,1,"['쓸데없는', '버리고', '빨리']","부정적인 감정을 완화하고, 제안하는 형태로 표현 변경","조금 더 유연하게 생각해보고, 요양원에 가는 것도 고려해보는 게 좋을 것 같아."
요즘 사람들 소셜 미디어에 자랑질만 너무 많이 하는듯,0,윤리검증,0,0,0,0,0,0,1,0,[],원문의 의도를 유지하면서 적절한 표현으로 변경,요즘 사람들은 소셜 미디어에 자랑만 너무 많이 하는 것 같아.
